miRNA, drug
hsa-let-7a,5280795
hsa-let-7a,5280896
hsa-let-7a,5280899
hsa-let-7a,5281004
hsa-let-7a,5281034
hsa-let-7a,5281035
hsa-let-7a,5281052
hsa-let-7a,5281104
hsa-let-7a,5281243
hsa-let-7a,5281929
hsa-let-7a,5282181
hsa-let-7a,5282237
hsa-let-7a,5282379
hsa-let-7a,5282381
hsa-let-7a,5282415
hsa-let-7a,5282494
hsa-let-7a,5283731
hsa-let-7a,5284512
hsa-let-7a,5284553
hsa-let-7a,5284592
hsa-let-7a,5288783
hsa-let-7a,5311000
hsa-let-7a,5311051
hsa-let-7a,5311052
hsa-let-7a,5311066
hsa-let-7a,5311067
hsa-let-7a,5311071
hsa-let-7a,5311167
hsa-let-7a,5311266
hsa-let-7a,5311412
hsa-let-7a,5311454
hsa-let-7a,5328940
hsa-let-7a,5353788
hsa-let-7a,5355130
hsa-let-7a,5359272
hsa-let-7a,5359371
hsa-let-7a,5360696
hsa-let-7a,5447130
hsa-let-7a,5486971
hsa-let-7a,5493444
hsa-let-7a,6099959
hsa-let-7a,6445540
hsa-let-7a,6451164
hsa-let-7a,6473881
hsa-let-7a,6540478
hsa-let-7a,6714002
hsa-let-7a,6916249
hsa-let-7a,6917715
hsa-let-7a,6918140
hsa-let-7a,6918155
hsa-let-7a,6918296
hsa-let-7a,6918314
hsa-let-7a,6918462
hsa-let-7a,6918585
hsa-let-7a,6918638
hsa-let-7a,6918670
hsa-let-7a,7019255
hsa-let-7a,9552079
hsa-let-7a,9571107
hsa-let-7a,9818306
hsa-let-7a,9837124
hsa-let-7a,9838022
hsa-let-7a,9854489
hsa-let-7a,9863827
hsa-let-7a,9865442
hsa-let-7a,9868491
hsa-let-7a,9882105
hsa-let-7a,9883933
hsa-let-7a,9887712
hsa-let-7a,9915743
hsa-let-7a,9915879
hsa-let-7a,9930049
hsa-let-7a,9933193
hsa-let-7a,9949848
hsa-let-7a,10071196
hsa-let-7a,10077130
hsa-let-7a,10113978
hsa-let-7a,10127622
hsa-let-7a,10178705
hsa-let-7a,10184653
hsa-let-7a,10220503
hsa-let-7a,10288191
hsa-let-7a,10482134
hsa-let-7a,10577938
hsa-let-7a,11457650
hsa-let-7a,11499245
hsa-let-7a,11511120
hsa-let-7a,11658860
hsa-let-7a,11671467
hsa-let-7a,11750009
hsa-let-7a,11949646
hsa-let-7a,11953884
hsa-let-7a,11954369
hsa-let-7a,11978813
hsa-let-7a,11979494
hsa-let-7a,13559281
hsa-let-7a,15558638
hsa-let-7a,16211978
hsa-let-7a,16684434
hsa-let-7a,16760467
hsa-let-7a,17754356
hsa-let-7a,17756771
hsa-let-7a,20054914
hsa-let-7a,21633059
hsa-let-7a,21867154
hsa-let-7a,22251426
hsa-let-7a,22617237
hsa-let-7a,23443659
hsa-let-7a,23663870
hsa-let-7a,23668827
hsa-let-7a,24795069
hsa-let-7a,24812758
hsa-let-7a,24831714
hsa-let-7a,24847884
hsa-let-7a,25102847
hsa-let-7a,25141092
hsa-let-7a,25185057
hsa-let-7a,44599207
hsa-let-7a,44814423
hsa-let-7a,46705423
hsa-let-7a,46843772
hsa-let-7a,49803313
hsa-let-7a,54679224
hsa-let-7a,54680783
hsa-let-7a,56840904
hsa-let-7a,56955933
hsa-let-7a,57379345
hsa-let-7a,67462786
